Grid	Lat/Long hddd.ddddd°
Datum	South American '69

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Track actual: 07 JUN 2018 14:52	07-06-2018 14:52:45 (UTC-4)	2:27:03	7.5 km	3 kph	

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	S34.98889 W71.25496	07-06-2018 15:02:42 (UTC-4)	198 m			0 m	0:00:06	0.1 kph	312° true
Trackpoint	S34.98885 W71.25495	07-06-2018 15:02:48 (UTC-4)	198 m			5 m	0:00:06	3 kph	20° true
Trackpoint	S34.98872 W71.25486	07-06-2018 15:02:54 (UTC-4)	199 m			17 m	0:00:06	10 kph	27° true
Trackpoint	S34.98856 W71.25476	07-06-2018 15:03:00 (UTC-4)	199 m			20 m	0:00:06	12 kph	29° true
Trackpoint	S34.98839 W71.25466	07-06-2018 15:03:06 (UTC-4)	199 m			21 m	0:00:06	13 kph	26° true
Trackpoint	S34.98826 W71.25455	07-06-2018 15:03:12 (UTC-4)	199 m			18 m	0:00:06	11 kph	32° true
Trackpoint	S34.98824 W71.25450	07-06-2018 15:03:18 (UTC-4)	199 m			5 m	0:00:06	3 kph	69° true
Trackpoint	S34.98824 W71.25450	07-06-2018 15:03:24 (UTC-4)	199 m			1 m	0:00:06	0.4 kph	67° true
Trackpoint	S34.98824 W71.25449	07-06-2018 15:03:30 (UTC-4)	200 m			1 m	0:00:06	0.3 kph	57° true
Trackpoint	S34.98830 W71.25435	07-06-2018 15:03:36 (UTC-4)	201 m			15 m	0:00:06	9 kph	119° true
Trackpoint	S34.98830 W71.25430	07-06-2018 15:03:42 (UTC-4)	201 m			5 m	0:00:06	3 kph	88° true
Trackpoint	S34.98830 W71.25430	07-06-2018 15:03:48 (UTC-4)	201 m			0 m	0:00:06	0.2 kph	335° true
Trackpoint	S34.98829 W71.25434	07-06-2018 15:03:54 (UTC-4)	201 m			3 m	0:00:06	2 kph	291° true
Trackpoint	S34.98822 W71.25447	07-06-2018 15:04:00 (UTC-4)	201 m			15 m	0:00:06	9 kph	300° true
Trackpoint	S34.98809 W71.25449	07-06-2018 15:04:06 (UTC-4)	201 m			14 m	0:00:06	8 kph	356° true
Trackpoint	S34.98793 W71.25439	07-06-2018 15:04:12 (UTC-4)	202 m			20 m	0:00:06	12 kph	27° true
Trackpoint	S34.98783 W71.25435	07-06-2018 15:04:18 (UTC-4)	201 m			12 m	0:00:06	7 kph	17° true
Trackpoint	S34.98782 W71.25435	07-06-2018 15:04:24 (UTC-4)	201 m			1 m	0:00:06	0.6 kph	1° true
Trackpoint	S34.98782 W71.25434	07-06-2018 15:04:30 (UTC-4)	201 m			1 m	0:00:06	0.3 kph	83° true
Trackpoint	S34.98781 W71.25434	07-06-2018 15:04:36 (UTC-4)	201 m			0 m	0:00:06	0.2 kph	20° true
Trackpoint	S34.98781 W71.25434	07-06-2018 15:04:42 (UTC-4)	202 m			0 m	0:00:06	0.2 kph	55° true
Trackpoint	S34.98781 W71.25434	07-06-2018 15:04:48 (UTC-4)	202 m			0 m	0:00:06	0.1 kph	19° true
Trackpoint	S34.98767 W71.25430	07-06-2018 15:04:54 (UTC-4)	204 m			16 m	0:00:06	9 kph	13° true
Trackpoint	S34.98752 W71.25424	07-06-2018 15:05:00 (UTC-4)	206 m			18 m	0:00:06	11 kph	17° true
Trackpoint	S34.98739 W71.25419	07-06-2018 15:05:06 (UTC-4)	206 m			14 m	0:00:06	9 kph	19° true
Trackpoint	S34.98724 W71.25409	07-06-2018 15:05:12 (UTC-4)	206 m			19 m	0:00:06	12 kph	27° true
Trackpoint	S34.98706 W71.25402	07-06-2018 15:05:18 (UTC-4)	207 m			21 m	0:00:06	12 kph	18° true
Trackpoint	S34.98696 W71.25398	07-06-2018 15:05:24 (UTC-4)	207 m			11 m	0:00:06	7 kph	18° true
Trackpoint	S34.98689 W71.25396	07-06-2018 15:05:30 (UTC-4)	209 m			8 m	0:00:06	5 kph	16° true
Trackpoint	S34.98689 W71.25395	07-06-2018 15:05:36 (UTC-4)	209 m			1 m	0:00:06	0.3 kph	92° true
Trackpoint	S34.98681 W71.25392	07-06-2018 15:05:42 (UTC-4)	210 m			10 m	0:00:06	6 kph	17° true
Trackpoint	S34.98667 W71.25386	07-06-2018 15:05:48 (UTC-4)	210 m			16 m	0:00:06	10 kph	20° true
Trackpoint	S34.98660 W71.25393	07-06-2018 15:05:54 (UTC-4)	209 m			10 m	0:00:06	6 kph	322° true
Trackpoint	S34.98656 W71.25407	07-06-2018 15:06:00 (UTC-4)	207 m			13 m	0:00:06	8 kph	289° true
Trackpoint	S34.98655 W71.25414	07-06-2018 15:06:06 (UTC-4)	206 m			6 m	0:00:06	4 kph	286° true
Trackpoint	S34.98654 W71.25403	07-06-2018 15:06:12 (UTC-4)	206 m			9 m	0:00:06	6 kph	84° true
Trackpoint	S34.98659 W71.25387	07-06-2018 15:06:18 (UTC-4)	205 m			16 m	0:00:06	10 kph	112° true
Trackpoint	S34.98664 W71.25367	07-06-2018 15:06:24 (UTC-4)	204 m			19 m	0:00:06	11 kph	105° true
Trackpoint	S34.98666 W71.25355	07-06-2018 15:06:30 (UTC-4)	204 m			12 m	0:00:06	7 kph	103° true
Trackpoint	S34.98669 W71.25344	07-06-2018 15:06:36 (UTC-4)	203 m			10 m	0:00:06	6 kph	111° true
Trackpoint	S34.98669 W71.25344	07-06-2018 15:06:42 (UTC-4)	203 m			0 m	0:00:06	0.3 kph	77° true
Trackpoint	S34.98674 W71.25337	07-06-2018 15:06:48 (UTC-4)	203 m			8 m	0:00:06	5 kph	129° true
Trackpoint	S34.98674 W71.25336	07-06-2018 15:06:54 (UTC-4)	203 m			1 m	0:00:06	0.3 kph	133° true
