Grid	Lat/Long hddd.ddddd°
Datum	South American '69

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Track actual: 08 JUL 2018 18:01	08-07-2018 18:01:34 (UTC-4)	13:50:30	1.2 km	0.1 kph	

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	S34.97725 W71.25654	08-07-2018 18:12:58 (UTC-4)	197 m			0 m	0:00:06	0.0 kph	215° true
Trackpoint	S34.97725 W71.25654	08-07-2018 18:13:04 (UTC-4)	197 m			0 m	0:00:06	0.0 kph	98° true
Trackpoint	S34.97725 W71.25654	08-07-2018 18:13:10 (UTC-4)	197 m			0 m	0:00:06	0.1 kph	316° true
Trackpoint	S34.97725 W71.25654	08-07-2018 18:13:16 (UTC-4)	197 m			0 m	0:00:06	0.0 kph	312° true
Trackpoint	S34.97725 W71.25655	08-07-2018 18:13:22 (UTC-4)	197 m			0 m	0:00:06	0.1 kph	301° true
Trackpoint	S34.97725 W71.25655	08-07-2018 18:13:28 (UTC-4)	197 m			0 m	0:00:06	0.1 kph	292° true
Trackpoint	S34.97725 W71.25655	08-07-2018 18:13:34 (UTC-4)	197 m			0 m	0:00:06	0.0 kph	219° true
Trackpoint	S34.97725 W71.25655	08-07-2018 18:13:40 (UTC-4)	197 m			0 m	0:00:06	0.1 kph	260° true
Trackpoint	S34.97725 W71.25655	08-07-2018 18:13:46 (UTC-4)	197 m			0 m	0:00:06	0.1 kph	259° true
Trackpoint	S34.97725 W71.25655	08-07-2018 18:13:52 (UTC-4)	197 m			0 m	0:00:06	0.1 kph	239° true
Trackpoint	S34.97725 W71.25655	08-07-2018 18:13:58 (UTC-4)	197 m			0 m	0:00:06	0.1 kph	219° true
Trackpoint	S34.97725 W71.25655	08-07-2018 18:14:04 (UTC-4)	197 m			0 m	0:00:06	0.1 kph	236° true
Trackpoint	S34.97726 W71.25656	08-07-2018 18:14:10 (UTC-4)	197 m			0 m	0:00:06	0.1 kph	250° true
Trackpoint	S34.97726 W71.25656	08-07-2018 18:14:16 (UTC-4)	197 m			0 m	0:00:06	0.2 kph	270° true
Trackpoint	S34.97726 W71.25656	08-07-2018 18:14:22 (UTC-4)	197 m			0 m	0:00:06	0.0 kph	202° true
Trackpoint	S34.97726 W71.25656	08-07-2018 18:14:28 (UTC-4)	197 m			0 m	0:00:06	0.1 kph	211° true
Trackpoint	S34.97726 W71.25656	08-07-2018 18:14:34 (UTC-4)	197 m			0 m	0:00:06	0.1 kph	248° true
Trackpoint	S34.97726 W71.25656	08-07-2018 18:14:40 (UTC-4)	196 m			0 m	0:00:06	0.0 kph	189° true
Trackpoint	S34.97726 W71.25656	08-07-2018 18:14:46 (UTC-4)	196 m			0 m	0:00:06	0.0 kph	129° true
Trackpoint	S34.97726 W71.25656	08-07-2018 18:14:52 (UTC-4)	197 m			0 m	0:00:06	0.0 kph	76° true
Trackpoint	S34.97726 W71.25656	08-07-2018 18:14:58 (UTC-4)	197 m			0 m	0:00:06	0.1 kph	77° true
Trackpoint	S34.97726 W71.25656	08-07-2018 18:15:04 (UTC-4)	197 m			0 m	0:00:06	0.1 kph	346° true
Trackpoint	S34.97726 W71.25656	08-07-2018 18:15:10 (UTC-4)	197 m			0 m	0:00:06	0.1 kph	353° true
Trackpoint	S34.97725 W71.25656	08-07-2018 18:15:16 (UTC-4)	197 m			0 m	0:00:06	0.1 kph	339° true
Trackpoint	S34.97725 W71.25656	08-07-2018 18:15:22 (UTC-4)	197 m			0 m	0:00:06	0.1 kph	43° true
Trackpoint	S34.97725 W71.25656	08-07-2018 18:15:28 (UTC-4)	197 m			0 m	0:00:06	0.2 kph	92° true
Trackpoint	S34.97725 W71.25655	08-07-2018 18:15:34 (UTC-4)	197 m			0 m	0:00:06	0.2 kph	111° true
Trackpoint	S34.97725 W71.25655	08-07-2018 18:15:40 (UTC-4)	197 m			0 m	0:00:06	0.2 kph	94° true
Trackpoint	S34.97726 W71.25654	08-07-2018 18:15:46 (UTC-4)	197 m			0 m	0:00:06	0.2 kph	100° true
Trackpoint	S34.97726 W71.25654	08-07-2018 18:15:52 (UTC-4)	197 m			0 m	0:00:06	0.3 kph	101° true
Trackpoint	S34.97726 W71.25654	08-07-2018 18:15:58 (UTC-4)	197 m			0 m	0:00:06	0.2 kph	101° true
Trackpoint	S34.97726 W71.25653	08-07-2018 18:16:04 (UTC-4)	198 m			0 m	0:00:06	0.2 kph	80° true
